age,income,gender,city,purchases,score,category,is_active,signup_year,device,last_login_days,target
56.0,8213.40262599007,unknown,,27,0.7275238239301679,C,1,2019,Web,9,1
46.0,7192.075567436009,female,,16,0.37965887104480744,A,1,2020,iOS,300,1
32.0,,unknown,,45,0.10221385745931877,,1,,Android,22,0
25.0,9728.262584670783,female,Cairo,10,0.49370410490544014,A,0,2018,,17,1
38.0,12667.89782234402,female,,22,0.5038355374003791,,1,2019,iOS,132,0
56.0,15926.93773118703,male,,25,0.5505869675402798,D,0,2020,iOS,239,0
36.0,14562.576168467294,male,Tanta,45,0.6824494800805381,,0,2022,,345,1
40.0,20042.597452494774,,Cairo,4,0.2643827006784403,B,1,2020,Web,208,0
28.0,13038.837442198523,female,,25,0.002484466369574667,B,,2020,Android,337,0
28.0,10631.417960682698,female,Unknown,5,0.8128447398328611,B,,,Android,207,1
41.0,7943.356813007669,male,,42,0.8235366941209956,C,0,2020,Web,195,0
53.0,8092.90469375861,unknown,Giza,33,0.911621766905182,B,1,2018,,82,0
57.0,12425.671119546647,,Cairo,41,0.969036639842498,,0,2020,Web,79,1
41.0,5502.501361998082,female,Tanta,12,0.15917144284938867,,,2022,Web,35,1
20.0,11030.392626363711,male,Unknown,24,0.3538716721074662,,0,2019,Android,129,1
39.0,9915.107968882521,female,Alex,1,0.8513592341151413,B,0,2021,Web,284,0
19.0,6723.563245739705,male,Giza,13,??,D,,,,74,1
41.0,5269.643681652183,,Giza,16,0.01452953295485837,D,1,2018,Web,152,1
47.0,21361.228757793288,unknown,Giza,40,0.3875339757288959,C,,2021,Android,22,0
55.0,3715.4297520176897,female,Unknown,39,0.11338589379988506,,1,,Web,308,1
19.0,9695.086460440229,female,Cairo,39,0.7884582659570163,,1,,Web,191,0
38.0,15501.627136707428,,Cairo,38,0.7471304065355973,C,,2020,,77,1
50.0,12380.755892177252,unknown,,24,0.7543027056034222,,0,2018,iOS,74,1
29.0,7869.089998199526,female,,26,0.39023516866693864,A,0,2022,iOS,131,0
39.0,4635.337890045978,,Cairo,47,0.40624756667356243,C,,2021,Android,329,0
42.0,10584.038994667859,female,,23,0.26186466938098285,,1,2019,,12,0
44.0,-1877.8186211069642,female,Cairo,48,0.36089353780758826,C,,,,148,1
59.0,10764.401771781408,,Giza,32,0.9830815423027855,A,0,2022,iOS,97,0
45.0,10156.719641025431,,Alex,26,0.04656876124815468,A,0,2022,Web,135,0
33.0,14815.548678369698,male,Giza,44,0.324007574942754,B,1,2021,Android,353,0
32.0,4854.971156120053,male,,30,0.789922961159599,,,2019,Web,391,1
20.0,8544.378700692703,female,Alex,47,0.38234598191470126,A,0,2018,,211,1
54.0,11966.05741076883,,Alex,37,0.949984416956515,A,,2022,,38,0
24.0,10925.054914166029,unknown,Cairo,14,??,A,,2018,iOS,80,0
38.0,3958.090763903112,unknown,Tanta,43,0.8497583466191223,B,,2022,iOS,325,0
,7086.242213272528,female,Unknown,39,0.8150948516495777,,1,2020,iOS,292,1
56.0,16299.602021041272,male,Tanta,0,0.0092076261725762,C,0,,,350,0
35.0,11166.96873381002,,Alex,10,0.4029890940869164,B,1,2022,Web,198,0
21.0,2511.4773341024675,,Tanta,14,??,,0,2018,,384,1
42.0,13974.544660048015,male,,32,0.47960854948070264,A,0,2019,Android,385,0
31.0,2803.308732762488,,Alex,47,0.46277106511028,B,,2021,,309,0
26.0,8618.407760742619,female,Giza,31,0.9055294988014372,D,,2019,,397,1
43.0,12534.74449559415,,,24,0.18358134806758564,D,0,2022,Web,118,0
19.0,15461.676460084313,,Giza,38,0.1821911222332021,A,,2018,iOS,268,1
37.0,-520.6590694735969,male,,32,0.10806673975007208,,,2020,Android,339,0
45.0,13202.15548361814,male,Cairo,28,0.738651190015915,,,2019,Web,202,1
24.0,13877.7608802271,unknown,,33,0.917860322823485,B,1,2020,Android,2,1
25.0,7493.430393288415,female,Unknown,7,0.36850391828589857,D,1,2021,Web,72,0
52.0,10409.090902454574,male,Giza,10,0.061822496540341776,,0,2020,iOS,33,1
